Species,SpecCode,TempMin,TempMax
Abalistes filamentosus,62612,NA,NA
Abalistes stellatus,9,NA,NA
Abantennarius analis,11144,NA,NA
Abantennarius bermudensis,16680,NA,NA
Abantennarius coccineus,5402,NA,NA
Abantennarius dorehensis,7294,NA,NA
Abantennarius drombus,69666,NA,NA
Abantennarius duescus,27298,NA,NA
Abantennarius nummifer,5403,NA,NA
Abantennarius rosaceus,7296,NA,NA
Abantennarius sanguineus,13451,NA,NA
Ablabys binotatus,8049,NA,NA
Ablabys gymnothorax,69366,NA,NA
Ablabys macracanthus,25701,NA,NA
Ablabys pauciporus,69367,NA,NA
Ablabys taenianotus,10232,NA,NA
Ablennes hians,972,NA,NA
Aboma etheostoma,46918,NA,NA
Aborichthys iphipaniensis,70563,NA,NA
Abudefduf abdominalis,6652,NA,NA
Abudefduf bengalensis,6517,NA,NA
Abudefduf concolor,11793,NA,NA
Abudefduf conformis,55476,NA,NA
Abudefduf declivifrons,55868,NA,NA
Abudefduf hoefleri,11811,NA,NA
Abudefduf lorenzi,5685,NA,NA
Abudefduf margariteus,11823,NA,NA
Abudefduf natalensis,11825,22,29
Abudefduf nigrimargo,69265,NA,NA
Abudefduf notatus,5686,NA,NA
Abudefduf saxatilis,1119,NA,NA
Abudefduf septemfasciatus,5687,NA,NA
Abudefduf sexfasciatus,5688,NA,NA
Abudefduf sordidus,5689,NA,NA
Abudefduf sparoides,8018,27,29
Abudefduf taurus,1120,NA,NA
Abudefduf troschelii,8245,NA,NA
Abudefduf vaigiensis,6630,NA,NA
Abudefduf whitleyi,9626,NA,NA
Abyssoberyx levisquamosus,63844,NA,NA
Abyssobrotula galatheae,17075,NA,NA
Abyssobrotula hadropercularis,70322,NA,NA
Acanthaluteres brownii,14532,NA,NA
Acanthaluteres spilomelanurus,51356,NA,NA
Acanthaluteres vittiger,14550,NA,NA
Acanthanectes hystrix,56310,NA,NA
Acanthanectes rufus,56311,NA,NA
Acanthaphritis barbata,12559,NA,NA
Acanthaphritis grandisquamis,59262,NA,NA
Acanthaphritis ozawai,59416,NA,NA
Acanthaphritis unoorum,59263,NA,NA
Acanthemblemaria aceroi,70292,NA,NA
Acanthemblemaria aspera,3708,NA,NA
Acanthemblemaria atrata,60573,NA,NA
Acanthemblemaria balanorum,46703,NA,NA
Acanthemblemaria betinensis,47263,NA,NA
Acanthemblemaria castroi,25510,NA,NA
Acanthemblemaria chaplini,3709,NA,NA
Acanthemblemaria crockeri,46704,NA,NA
Acanthemblemaria exilispinus,46709,NA,NA
Acanthemblemaria greenfieldi,47265,NA,NA
Acanthemblemaria hancocki,46714,NA,NA
Acanthemblemaria harpeza,60576,NA,NA
Acanthemblemaria hastingsi,65600,NA,NA
Acanthemblemaria johnsoni,55035,NA,NA
Acanthemblemaria macrospilus,46717,NA,NA
Acanthemblemaria mangognatha,60574,NA,NA
Acanthemblemaria maria,16485,NA,NA
Acanthemblemaria medusa,27905,NA,NA
Acanthemblemaria paula,54806,NA,NA
Acanthemblemaria rivasi,47268,NA,NA
Acanthemblemaria spinosa,16486,NA,NA
Acanthemblemaria stephensi,46725,NA,NA
Acanthistius brasilianus,351,NA,NA
Acanthistius cinctus,12690,NA,NA
Acanthistius fuscus,59850,NA,NA
Acanthistius joanae,65330,NA,NA
Acanthistius ocellatus,15036,NA,NA
Acanthistius pardalotus,15038,NA,NA
Acanthistius patachonicus,50141,NA,NA
Acanthistius paxtoni,15040,NA,NA
Acanthistius pictus,57960,NA,NA
Acanthistius sebastoides,7920,NA,NA
Acanthistius serratus,15042,NA,NA
Acanthocepola abbreviata,10354,NA,NA
Acanthocepola indica,9216,NA,NA
Acanthocepola krusensternii,9215,NA,NA
Acanthocepola limbata,9214,NA,NA
Acanthochaenus luetkenii,9046,NA,NA
Acanthochromis polyacanthus,6655,NA,NA
Acanthoclinus fuscus,12865,NA,NA
Acanthoclinus littoreus,49224,NA,NA
Acanthoclinus marilynae,46323,NA,NA
Acanthoclinus matti,47430,NA,NA
Acanthoclinus rua,46322,NA,NA
Acanthocybium solandri,89,NA,NA
Acanthodraco dewitti,54894,NA,NA
Acanthogobius elongatus,67583,NA,NA
Acanthogobius flavimanus,3832,NA,NA
Acanthogobius hasta,13045,NA,NA
Acanthogobius insularis,67376,NA,NA
Acanthogobius lactipes,23696,NA,NA
Acanthogobius luridus,55485,NA,NA
Acanthogobius stigmothonus,69021,NA,NA
Acantholabrus palloni,7633,NA,NA
Acantholiparis caecus,51500,NA,NA
Acantholiparis opercularis,25262,NA,NA
Acantholumpenus mackayi,3771,NA,NA
Acanthonus armatus,8943,NA,NA
Acanthopagrus akazakii,63150,NA,NA
Acanthopagrus arabicus,67314,NA,NA
Acanthopagrus australis,8109,NA,NA
Acanthopagrus berda,5526,NA,NA
Achiroides leucorhynchos,25162,NA,NA
Achiroides melanorhynchus,25164,NA,NA
Achiropsetta tricholepis,7119,NA,NA
Achirus achirus,7572,25,28
Aetomylaeus maculatus,12594,NA,NA
Aetomylaeus milvus,12597,NA,NA
Aetomylaeus nichofii,10120,NA,NA
Aetomylaeus vespertilio,12599,NA,NA
Afurcagobius suppositus,57010,NA,NA
Acanthopagrus bifasciatus,4543,NA,NA
Acanthopagrus butcheri,14601,NA,NA
Acanthopagrus catenula,67289,NA,NA
Acanthopagrus chinshira,63767,NA,NA
Acanthopagrus datnia,67331,NA,NA
Acanthopagrus latus,6356,NA,NA
Acanthopagrus morrisonae,67330,NA,NA
Acanthopagrus omanensis,65370,NA,NA
Acanthopagrus pacificus,65896,NA,NA
Acanthopagrus palmaris,8110,NA,NA
Acanthopagrus randalli,65100,NA,NA
Acanthopagrus schlegelii,6531,NA,NA
Acanthopagrus sheim,67333,NA,NA
Acanthopagrus sivicolus,6583,NA,NA
Acanthopagrus taiwanensis,63153,NA,NA
Acanthopagrus vagus,65558,NA,NA
Acanthoplesiops cappuccino,67665,NA,NA
Acanthoplesiops echinatus,58053,NA,NA
Acanthoplesiops hiatti,17444,NA,NA
Acanthoplesiops indicus,8004,NA,NA
Acanthoplesiops jessicae,69338,NA,NA
Acanthoplesiops naka,65019,NA,NA
