ncbi_taxon_id,species,subspecies,family_x,target_list_status,sequencing_status,synonym,publication_id,aphia_id,url,scientificname,authority,status,rank,valid_AphiaID,valid_name,order,family_y,genus,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,modified,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
7748,Lampetra fluviatilis,-,Petromyzontidae,long_list,-,-,-,101172,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101172,Lampetra fluviatilis,"(Linnaeus, 1758)",accepted,Species,101172,Lampetra fluviatilis,Petromyzontiformes,Petromyzontidae,Lampetra,1,1,1,0,NA,2017-08-09T06:21:34Z,4480,10,NA,69,N,38,N,11,W,29,E,5,18
7755,Mordacia mordax,-,Mordaciidae,long_list,-,-,-,281595,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281595,Mordacia mordax,"(Richardson, 1846)",accepted,Species,281595,Mordacia mordax,Petromyzontiformes,Mordaciidae,Mordacia,1,1,1,0,NA,2008-01-15T17:27:08Z,7510,NA,NA,35,S,44,S,NA,NA,NA,NA,NA,NA
7757,Petromyzon marinus,-,Petromyzontidae,long_list,-,-,-,101174,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101174,Petromyzon marinus,"Linnaeus, 1758",accepted,Species,101174,Petromyzon marinus,Petromyzontiformes,Petromyzontidae,Petromyzon,1,1,1,0,NA,2008-01-15T17:27:08Z,2530,1,4099,72,N,25,N,82,W,27,E,0.6,20
7764,Eptatretus burgeri,-,Myxinidae,long_list,-,-,-,279272,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279272,Eptatretus burgeri,"(Girard, 1855)",accepted,Species,279272,Eptatretus burgeri,Myxiniformes,Myxinidae,Eptatretus,1,0,0,0,NA,2008-01-15T17:27:08Z,8712,10,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7765,Eptatretus stoutii,-,Myxinidae,long_list,-,-,-,279298,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279298,Eptatretus stoutii,"(Lockington, 1878)",accepted,Species,279298,Eptatretus stoutii,Myxiniformes,Myxinidae,Eptatretus,1,0,0,0,NA,2008-01-15T17:27:08Z,2512,16,966,58,n,20,n,137,w,105,w,NA,NA
7767,Eptatretus okinoseanus,-,Myxinidae,long_list,-,-,-,279294,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279294,Eptatretus okinoseanus,"(Dean, 1904)",accepted,Species,279294,Eptatretus okinoseanus,Myxiniformes,Myxinidae,Eptatretus,1,0,0,0,NA,2008-01-15T17:27:08Z,17195,300,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7769,Myxine glutinosa,-,Myxinidae,long_list,-,-,-,101170,https://www.marinespecies.org/aphia.php?p=taxdetails&id=101170,Myxine glutinosa,"Linnaeus, 1758",accepted,Species,101170,Myxine glutinosa,Myxiniformes,Myxinidae,Myxine,1,0,0,0,NA,2008-01-15T17:27:08Z,2513,20,1200,72,N,24,N,89,W,41,E,1.5,13
7781,Raja clavata,-,Rajidae,long_list,-,-,-,105883,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105883,Raja clavata,"Linnaeus, 1758",accepted,Species,105883,Raja clavata,Rajiformes,Rajidae,Raja,1,0,0,0,NA,2008-01-15T17:27:08Z,2059,5,1020,70,N,38,S,25,W,50,E,NA,NA
7782,Leucoraja erinacea,-,Rajidae,long_list,-,-,-,158551,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158551,Leucoraja erinacea,"(Mitchill, 1825)",unaccepted,Species,1577339,Leucoraja erinaceus,Rajiformes,Rajidae,Leucoraja,1,0,0,0,NA,2023-01-11T08:59:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7787,Tetronarce californica,-,Torpedinidae,long_list,-,-,-,845703,https://www.marinespecies.org/aphia.php?p=taxdetails&id=845703,Tetronarce californica,"(Ayres, 1855)",accepted,Species,845703,Tetronarce californica,Torpediniformes,Torpedinidae,Tetronarce,1,0,0,0,NA,2020-10-01T06:04:28Z,2552,0,906,48,N,23,N,126,W,110,W,NA,NA
7788,Torpedo marmorata,-,Torpedinidae,long_list,-,-,-,271684,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271684,Torpedo marmorata,"Risso, 1810",accepted,Species,271684,Torpedo marmorata,Torpediniformes,Torpedinidae,Torpedo,1,1,0,0,NA,2013-01-08T11:20:45Z,5132,2,370,60,N,34,S,19,W,36,E,NA,20
7792,Heterodontus francisci,-,Heterodontidae,long_list,-,-,-,276694,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276694,Heterodontus francisci,"(Girard, 1855)",accepted,Species,276694,Heterodontus francisci,Heterodontiformes,Heterodontidae,Heterodontus,1,0,0,0,NA,2008-01-15T17:27:08Z,739,0,152,37,N,15,S,124,W,75,W,NA,NA
7793,Heterodontus portusjacksoni,-,Heterodontidae,family_representative,in_assembly,-,-,276699,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276699,Heterodontus portusjacksoni,"(Meyer, 1793)",accepted,Species,276699,Heterodontus portusjacksoni,Heterodontiformes,Heterodontidae,Heterodontus,1,0,0,0,NA,2008-01-15T17:27:08Z,743,0,275,23,S,44,S,112,E,154,E,NA,NA
7797,Squalus acanthias,-,Squalidae,long_list,-,-,-,105923,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105923,Squalus acanthias,"Linnaeus, 1758",accepted,Species,105923,Squalus acanthias,Squaliformes,Squalidae,Squalus,1,1,0,0,NA,2008-01-15T17:27:08Z,139,0,1978,78,N,57,S,82,W,171,W,7,15
7798,Squalus suckleyi,-,Squalidae,long_list,-,-,-,299224,https://www.marinespecies.org/aphia.php?p=taxdetails&id=299224,Squalus suckleyi,"(Girard, 1855)",accepted,Species,299224,Squalus suckleyi,Squaliformes,Squalidae,Squalus,1,1,0,0,NA,2013-01-08T11:20:45Z,65869,15,1244,67,N,29,N,128,E,115,W,7,15
7801,Ginglymostoma cirratum,-,Ginglymostomatidae,long_list,-,-,-,105846,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105846,Ginglymostoma cirratum,"(Bonnaterre, 1788)",accepted,Species,105846,Ginglymostoma cirratum,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,1,1,0,0,NA,2008-01-15T17:27:08Z,2532,0,130,44,N,35,S,122,W,10,E,NA,NA
7807,Carcharhinus obscurus,-,Carcharhinidae,long_list,-,-,-,105796,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105796,Carcharhinus obscurus,"(Lesueur, 1818)",accepted,Species,105796,Carcharhinus obscurus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1,1,0,0,NA,2008-01-15T17:27:08Z,878,0,400,45,N,46,S,120,W,156,E,NA,NA
7808,Carcharhinus plumbeus,-,Carcharhinidae,long_list,-,-,-,105797,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105797,Carcharhinus plumbeus,"(Nardo, 1827)",accepted,Species,105797,Carcharhinus plumbeus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1,1,0,0,NA,2008-01-15T17:27:08Z,880,0,500,45,N,41,S,98,W,154,W,23,27
7810,Carcharhinus porosus,-,Carcharhinidae,long_list,-,-,-,217342,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217342,Carcharhinus porosus,"(Ranzani, 1839)",accepted,Species,217342,Carcharhinus porosus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1,1,0,0,NA,2008-01-15T17:27:08Z,881,NA,36,33,N,36,S,116,W,33,W,NA,NA
7812,Mustelus canis,-,Triakidae,long_list,-,-,-,158518,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158518,Mustelus canis,"(Mitchill, 1815)",accepted,Species,158518,Mustelus canis,Carcharhiniformes,Triakidae,Mustelus,1,1,0,0,NA,2008-01-15T17:27:08Z,2539,0,800,46,N,44,S,98,W,31,W,NA,NA
7813,Mustelus antarcticus,-,Triakidae,long_list,-,-,-,271380,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271380,Mustelus antarcticus,"Günther, 1870",accepted,Species,271380,Mustelus antarcticus,Carcharhiniformes,Triakidae,Mustelus,1,0,0,0,NA,2008-01-15T17:27:08Z,5943,0,403,28,S,44,S,NA,NA,NA,NA,NA,NA
7815,Prionace glauca,-,Carcharhinidae,long_list,-,-,-,105801,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105801,Prionace glauca,"(Linnaeus, 1758)",accepted,Species,105801,Prionace glauca,Carcharhiniformes,Carcharhinidae,Prionace,1,1,0,0,NA,2020-09-24T06:35:24Z,898,0,1082,70,N,55,S,180,W,180,E,7,21
7819,Galeocerdo cuvier,-,Carcharhinidae,long_list,in_assembly,-,-,105799,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105799,Galeocerdo cuvier,"(Péron & Lesueur, 1822)",accepted,Species,105799,Galeocerdo cuvier,Carcharhiniformes,Galeocerdonidae,Galeocerdo,1,1,0,0,NA,2008-01-15T17:27:08Z,886,0,800,62,N,44,S,180,W,180,E,NA,NA
7821,Negaprion brevirostris,-,Carcharhinidae,long_list,-,-,-,105800,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105800,Negaprion brevirostris,"(Poey, 1868)",accepted,Species,105800,Negaprion brevirostris,Carcharhiniformes,Carcharhinidae,Negaprion,1,1,0,0,NA,2008-01-15T17:27:08Z,897,0,92,45,N,33,S,114,W,14,e,NA,NA
7823,Sphyrna lewini,-,Sphyrnidae,long_list,-,-,-,105816,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105816,Sphyrna lewini,"(Griffith & Smith, 1834)",accepted,Species,105816,Sphyrna lewini,Carcharhiniformes,Sphyrnidae,Sphyrna,1,1,0,0,NA,2008-01-15T17:27:08Z,912,0,1043,46,N,39,S,180,W,180,E,NA,NA
7824,Sphyrna tiburo,-,Sphyrnidae,long_list,-,-,-,158517,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158517,Sphyrna tiburo,"(Linnaeus, 1758)",accepted,Species,158517,Sphyrna tiburo,Carcharhiniformes,Sphyrnidae,Sphyrna,1,1,0,0,NA,2008-01-15T17:27:08Z,915,10,80,45,N,36,S,121,W,32,W,NA,NA
7830,Scyliorhinus canicula,-,Scyliorhinidae,long_list,-,-,-,105814,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105814,Scyliorhinus canicula,"(Linnaeus, 1758)",accepted,Species,105814,Scyliorhinus canicula,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,1,0,0,0,NA,2008-01-15T17:27:08Z,845,10,780,63,N,3,N,32,W,37,E,NA,NA
7834,Echinorhinus cookei,-,Echinorhinidae,long_list,-,-,-,271656,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271656,Echinorhinus cookei,"Pietschmann, 1928",accepted,Species,271656,Echinorhinus cookei,Echinorhiniformes,Echinorhinidae,Echinorhinus,1,0,0,0,NA,2008-01-15T17:27:08Z,642,11,1100,47,N,55,S,119,E,68,W,NA,NA
7847,Isurus paucus,-,Lamnidae,long_list,-,-,-,105840,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105840,Isurus paucus,"Guitart, 1966",accepted,Species,105840,Isurus paucus,Lamniformes,Lamnidae,Isurus,1,0,0,0,NA,2013-01-08T10:48:02Z,753,0,1752,46,N,38,S,180,W,180,E,NA,NA
7849,Lamna nasus,-,Lamnidae,long_list,-,-,-,105841,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105841,Lamna nasus,"(Bonnaterre, 1788)",accepted,Species,105841,Lamna nasus,Lamniformes,Lamnidae,Lamna,1,0,0,0,NA,2008-01-15T17:27:08Z,88,0,1360,76,N,59,S,180,W,180,E,-1,23
7852,Alopias vulpinus,-,Alopiidae,long_list,-,-,-,105836,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105836,Alopias vulpinus,"(Bonnaterre, 1788)",accepted,Species,105836,Alopias vulpinus,Lamniformes,Alopiidae,Alopias,1,0,0,0,NA,2008-01-15T17:27:08Z,2535,0,650,74,N,58,S,180,W,180,E,NA,NA
7857,Notorynchus cepedianus,-,Hexanchidae,long_list,-,-,-,217628,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217628,Notorynchus cepedianus,"(Péron, 1807)",accepted,Species,217628,Notorynchus cepedianus,Hexanchiformes,Hexanchidae,Notorynchus,1,1,0,0,NA,2020-09-24T06:35:24Z,2531,0,570,56,N,55,S,131,W,177,E,NA,NA
7862,Pseudobatos lentiginosus,-,Rhinobatidae,long_list,-,-,-,1043479,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1043479,Pseudobatos lentiginosus,"(Garman, 1880)",accepted,Species,1043479,Pseudobatos lentiginosus,Rhinopristiformes,Rhinobatidae,Pseudobatos,1,0,0,0,NA,2017-11-08T08:07:26Z,2548,0,30,36,N,18,N,99,W,75,W,NA,NA
7867,Callorhinchus callorynchus,-,Callorhinchidae,long_list,-,-,-,278468,https://www.marinespecies.org/aphia.php?p=taxdetails&id=278468,Callorhinchus callorynchus,"(Linnaeus, 1758)",accepted,Species,278468,Callorhinchus callorynchus,Chimaeriformes,Callorhinchidae,Callorhinchus,1,0,0,0,NA,2008-01-15T17:27:08Z,8399,10,116,3,S,56,S,82,W,43,W,5,10
7868,Callorhinchus milii,-,Callorhinchidae,long_list,-,-,-,278469,https://www.marinespecies.org/aphia.php?p=taxdetails&id=278469,Callorhinchus milii,"Bory de Saint-Vincent, 1823",accepted,Species,278469,Callorhinchus milii,Chimaeriformes,Callorhinchidae,Callorhinchus,1,1,0,0,NA,2020-09-24T06:35:24Z,4722,0,227,33,S,50,S,NA,NA,NA,NA,NA,NA
7871,Chimaera monstrosa,-,Chimaeridae,long_list,-,-,-,105824,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105824,Chimaera monstrosa,"Linnaeus, 1758",accepted,Species,105824,Chimaera monstrosa,Chimaeriformes,Chimaeridae,Chimaera,1,0,0,0,NA,2008-01-15T17:27:08Z,2503,40,1400,75,N,27,N,32,W,35,E,NA,NA
