ncbi_taxon_id,species,subspecies,family_x,target_list_status,sequencing_status,synonym,publication_id,aphia_id,url,scientificname,authority,status,rank,valid_AphiaID,valid_name,order,family_y,genus,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,modified
753643,Acanthurus achilles,-,Acanthuridae,long_list,-,-,-,272957.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272957,Acanthurus achilles,"Shaw, 1803",accepted,Species,272957.0,Acanthurus achilles,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
1962508,Acanthurus albimento,-,Acanthuridae,long_list,-,-,-,1043611.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1043611,Acanthurus albimento,"Carpenter, Williams & Santos, 2017",accepted,Species,1043611.0,Acanthurus albimento,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2017-11-09T07:31:36.720Z
1917454,Acanthurus albipectoralis,-,Acanthuridae,long_list,-,-,-,272958.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272958,Acanthurus albipectoralis,"Allen & Ayling, 1987",accepted,Species,272958.0,Acanthurus albipectoralis,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
1316011,Acanthurus auranticavus,-,Acanthuridae,long_list,-,-,-,219633.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219633,Acanthurus auranticavus,"Randall, 1956",accepted,Species,219633.0,Acanthurus auranticavus,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
157584,Acanthurus bahianus,-,Acanthuridae,long_list,-,-,-,159578.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159578,Acanthurus bahianus,"Castelnau, 1855",accepted,Species,159578.0,Acanthurus bahianus,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
670521,Acanthurus bariene,-,Acanthuridae,long_list,-,-,-,219637.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219637,Acanthurus bariene,"Lesson, 1831",accepted,Species,219637.0,Acanthurus bariene,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
238050,Acanthurus blochii,-,Acanthuridae,long_list,-,-,-,219639.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219639,Acanthurus blochii,"Valenciennes, 1835",accepted,Species,219639.0,Acanthurus blochii,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
51758,Acanthurus chirurgus,-,Acanthuridae,long_list,-,-,-,159580.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159580,Acanthurus chirurgus,"(Bloch, 1787)",accepted,Species,159580.0,Acanthurus chirurgus,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
1920672,Acanthurus chronixis,-,Acanthuridae,long_list,-,-,-,272959.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272959,Acanthurus chronixis,"Randall, 1960",accepted,Species,272959.0,Acanthurus chronixis,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
157585,Acanthurus coeruleus,-,Acanthuridae,long_list,-,-,-,159581.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159581,Acanthurus coeruleus,"Bloch & Schneider, 1801",accepted,Species,159581.0,Acanthurus coeruleus,Acanthuriformes,Acanthuridae,Acanthurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z
