Species,SpecCode,DepthRangeShallow,DepthRangeDeep,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Abalistes filamentosus,62612,61,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abalistes stellatus,9,7,350,46,N,36,S,21,E,164,W,NA,NA
Abantennarius analis,11144,2,21,22,N,15,S,NA,NA,NA,NA,NA,NA
Abantennarius bermudensis,16680,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abantennarius coccineus,5402,10,75,35,N,40,S,28,E,107,W,NA,NA
Abantennarius dorehensis,7294,0,10,30,N,20,S,NA,NA,NA,NA,NA,NA
Abantennarius nummifer,5403,0,293,40,N,50,S,1,W,147,W,NA,NA
Abantennarius rosaceus,7296,0,130,30,N,32,S,117,E,169,W,NA,NA
Abantennarius sanguineus,13451,0,40,27,N,NA,NA,NA,NA,NA,NA,NA,NA
Ablabys binotatus,8049,NA,NA,29,N,32,S,30,E,60,E,NA,NA
Ablabys gymnothorax,69366,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablabys macracanthus,25701,1,20,25,N,8,N,92,E,124,E,NA,NA
Ablabys taenianotus,10232,1,78,38,N,31,S,90,E,179,E,NA,NA
Ablennes hians,972,0,3,43,N,37,S,180,W,180,E,NA,NA
Aboma etheostoma,46918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf abdominalis,6652,1,50,28,N,15,S,176,W,154,W,NA,NA
Abudefduf bengalensis,6517,1,6,25,N,35,S,79,E,155,E,NA,NA
Abudefduf concolor,11793,0,12,27,N,50,S,113,W,7,W,NA,NA
Abudefduf conformis,55476,0,12,9,S,12,S,140,W,137,W,NA,NA
Abudefduf declivifrons,55868,1,5,27,N,6,N,114,W,78,W,NA,NA
Abudefduf hoefleri,11811,NA,NA,23,N,21,S,9,E,118,W,NA,NA
Abudefduf lorenzi,5685,1,6,24,N,25,S,95,E,170,E,NA,NA
Abudefduf margariteus,11823,2,8,21,S,23,S,53,E,60,E,NA,NA
Abudefduf natalensis,11825,1,25,27,S,33,S,30,E,35,E,22,29
Abudefduf nigrimargo,69265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf notatus,5686,1,12,35,N,37,S,32,E,170,E,NA,NA
Abudefduf saxatilis,1119,0,20,41,N,37,S,89,W,14,E,NA,NA
Abudefduf septemfasciatus,5687,0,20,25,N,35,S,35,E,143,W,NA,NA
Abudefduf sexfasciatus,5688,1,20,33,N,35,S,32,E,143,W,NA,NA
Abudefduf sordidus,5689,0,3,27,N,37,S,49,W,126,W,NA,NA
Abudefduf sparoides,8018,0,6,2,S,34,S,28,E,65,E,27,29
Abudefduf taurus,1120,1,5,24,N,7,S,133,W,62,E,NA,NA
Abudefduf troschelii,8245,1,12,32,N,18,S,115,W,73,W,NA,NA
Abudefduf vaigiensis,6630,0,15,36,N,39,S,26,E,143,W,NA,NA
Abudefduf whitleyi,9626,1,5,10,S,33,S,141,E,170,E,NA,NA
Acanthaluteres brownii,14532,NA,50,11,S,41,S,117,E,147,E,NA,NA
Acanthaluteres spilomelanurus,51356,NA,NA,25,S,45,S,113,E,159,E,NA,NA
Acanthaluteres vittiger,14550,1,40,30,S,44,S,110,E,160,E,NA,NA
Acanthaphritis barbata,12559,NA,NA,26,N,33,S,119,E,155,E,NA,NA
Acanthaphritis unoorum,59263,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria aspera,3708,NA,NA,20,N,10,N,90,W,58,W,NA,NA
Acanthemblemaria balanorum,46703,1,5,26,N,16,N,112,W,100,W,NA,NA
Acanthemblemaria betinensis,47263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria castroi,25510,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria chaplini,3709,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthemblemaria crockeri,46704,1,60,30,N,14,N,115,W,98,W,NA,NA
Acanthemblemaria exilispinus,46709,1,5,11,N,4,N,87,W,76,W,NA,NA
Acanthemblemaria greenfieldi,47265,NA,NA,17,N,14,N,90,W,86,W,NA,NA
Acanthemblemaria hancocki,46714,1,5,24,N,5,N,113,W,76,W,NA,NA
Acanthemblemaria macrospilus,46717,2,15,29,N,4,N,112,W,85,W,NA,NA
Acanthemblemaria maria,16485,NA,NA,18,N,10,N,90,W,58,W,NA,NA
Acanthemblemaria medusa,27905,NA,NA,12,N,10,N,62,W,58,W,NA,NA
Acanthemblemaria paula,54806,1,2,18,N,15,N,90,W,86,W,NA,NA
