Species,SpecCode,Genus,Author,FBname,DemersPelag,Subfamily,DepthRangeShallow,DepthRangeDeep,DepthRangeComShallow,DepthRangeComDeep,Length,CommonLength,Weight,Northernmost,NorthSouthN,Southermost,NorthSouthS,Westernmost,WestEastW,Easternmost,WestEastE,TempMin,TempMax
Abalistes filamentosus,62612,Abalistes,"Matsuura & Yoshino, 2004",NA,pelagic-neritic,NA,61,180,NA,NA,32.5,NA,1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abalistes stellatus,9,Abalistes,"(Anonymous, 1798)",Starry triggerfish,demersal,NA,7,350,NA,NA,60,40,NA,46,N,36,S,21,E,164,W,NA,NA
Abantennarius analis,11144,Abantennarius,"Schultz, 1957",Tailjet frogfish,reef-associated,NA,2,21,NA,NA,7.800000190734863,NA,NA,22,N,15,S,NA,NA,NA,NA,NA,NA
Abantennarius bermudensis,16680,Abantennarius,"(Schultz, 1957)",Island frogfish,reef-associated,NA,4,30,NA,NA,7.599999904632568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abantennarius coccineus,5402,Abantennarius,"(Lesson, 1831)",Scarlet frogfish,reef-associated,NA,10,75,NA,30,13,NA,NA,35,N,40,S,28,E,107,W,NA,NA
Abantennarius dorehensis,7294,Abantennarius,"(Bleeker, 1859)",New Guinean frogfish,reef-associated,NA,0,10,NA,NA,14,NA,NA,30,N,20,S,NA,NA,NA,NA,NA,NA
Abantennarius nummifer,5403,Abantennarius,"(Cuvier, 1817)",Spotfin frogfish,reef-associated,NA,0,293,19,20,13,NA,NA,40,N,50,S,1,W,147,W,NA,NA
Abantennarius rosaceus,7296,Abantennarius,"(Smith & Radcliffe, 1912)",Spiny-tufted frogfish,reef-associated,NA,0,130,30,40,5.800000190734863,NA,NA,30,N,32,S,117,E,169,W,NA,NA
Abantennarius sanguineus,13451,Abantennarius,"(Gill, 1863)",Bloody frogfish,reef-associated,NA,0,40,0,20,8.199999809265137,NA,NA,27,N,NA,NA,NA,NA,NA,NA,NA,NA
Ablabys binotatus,8049,Ablabys,"(Peters, 1855)",Redskinfish,benthopelagic,NA,NA,NA,NA,NA,15,NA,NA,29,N,32,S,30,E,60,E,NA,NA
Ablabys gymnothorax,69366,Ablabys,"Chungthanawong & Motomura, 2018",Scaleless spiny waspfsh,benthopelagic,NA,NA,27,NA,NA,8.279999732971191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablabys macracanthus,25701,Ablabys,"(Bleeker, 1852)",Spiny waspfish,benthopelagic,NA,1,20,NA,NA,20,NA,NA,25,N,8,N,92,E,124,E,NA,NA
Ablabys taenianotus,10232,Ablabys,"(Cuvier, 1829)",Cockatoo waspfish,benthopelagic,NA,1,78,NA,NA,15,NA,NA,38,N,31,S,90,E,179,E,NA,NA
Ablennes hians,972,Ablennes,"(Valenciennes, 1846)",Flat needlefish,reef-associated,NA,0,3,NA,NA,140,70,4800,43,N,37,S,180,W,180,E,NA,NA
Aboma etheostoma,46918,Aboma,"Jordan & Starks, 1895",Scaly boy,demersal,Gobiinae,NA,NA,NA,NA,3.4000000953674316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf abdominalis,6652,Abudefduf,"(Quoy & Gaimard, 1825)",Green damselfish,reef-associated,Glyphisodontinae,1,50,NA,NA,30,NA,NA,28,N,15,S,176,W,154,W,NA,NA
Abudefduf bengalensis,6517,Abudefduf,"(Bloch, 1787)",Bengal sergeant,reef-associated,Glyphisodontinae,1,6,NA,NA,17,NA,NA,25,N,35,S,79,E,155,E,NA,NA
Abudefduf concolor,11793,Abudefduf,"(Gill, 1862)",NA,reef-associated,Glyphisodontinae,0,12,NA,NA,19,10,NA,27,N,50,S,113,W,7,W,NA,NA
Abudefduf conformis,55476,Abudefduf,"Randall & Earle, 1999",NA,reef-associated,Glyphisodontinae,0,12,NA,NA,13.100000381469727,NA,NA,9,S,12,S,140,W,137,W,NA,NA
Abudefduf declivifrons,55868,Abudefduf,"(Gill, 1862)",Mexican nightsergeant,reef-associated,Glyphisodontinae,1,5,NA,NA,18,NA,NA,27,N,6,N,114,W,78,W,NA,NA
Abudefduf hoefleri,11811,Abudefduf,"(Steindachner, 1881)",African sergeant,reef-associated,Glyphisodontinae,NA,NA,NA,NA,20,NA,NA,23,N,21,S,9,E,118,W,NA,NA
Abudefduf lorenzi,5685,Abudefduf,"Hensley & Allen, 1977",Black-tail sergeant,reef-associated,Glyphisodontinae,1,6,NA,NA,18,NA,NA,24,N,25,S,95,E,170,E,NA,NA
Abudefduf margariteus,11823,Abudefduf,"(Cuvier, 1830)",Pearly sergeant,reef-associated,Glyphisodontinae,2,8,NA,NA,16,NA,NA,21,S,23,S,53,E,60,E,NA,NA
Abudefduf natalensis,11825,Abudefduf,"Hensley & Randall, 1983",Natal sergeant,reef-associated,Glyphisodontinae,1,25,NA,NA,17,NA,NA,27,S,33,S,30,E,35,E,22,29
Abudefduf nigrimargo,69265,Abudefduf,"Wibowo, Koeda, Muto & Motomura, 2018",Black margined-scale sergeant,reef-associated,Glyphisodontinae,NA,NA,NA,NA,9.1899995803833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abudefduf notatus,5686,Abudefduf,"(Day, 1870)",Yellowtail sergeant,reef-associated,Glyphisodontinae,1,12,NA,NA,17,NA,NA,35,N,37,S,32,E,170,E,NA,NA
Abudefduf saxatilis,1119,Abudefduf,"(Linnaeus, 1758)",Sergeant-major,reef-associated,Glyphisodontinae,0,20,NA,10,22.899999618530273,15,200,41,N,37,S,89,W,14,E,NA,NA
Abudefduf septemfasciatus,5687,Abudefduf,"(Cuvier, 1830)",Banded sergeant,reef-associated,Glyphisodontinae,0,20,NA,NA,23,NA,NA,25,N,35,S,35,E,143,W,NA,NA
Abudefduf sexfasciatus,5688,Abudefduf,"(Lacepède, 1801)",Scissortail sergeant,reef-associated,Glyphisodontinae,1,20,NA,NA,19,NA,NA,33,N,35,S,32,E,143,W,NA,NA
Abudefduf sordidus,5689,Abudefduf,"(Forsskål, 1775)",Blackspot sergeant,reef-associated,Glyphisodontinae,0,3,NA,NA,24,NA,NA,27,N,37,S,49,W,126,W,NA,NA
Abudefduf sparoides,8018,Abudefduf,"(Quoy & Gaimard, 1825)",False-eye sergeant,reef-associated,Glyphisodontinae,0,6,NA,NA,16,NA,NA,2,S,34,S,28,E,65,E,27,29
Abudefduf taurus,1120,Abudefduf,"(Müller & Troschel, 1848)",Night sergeant,reef-associated,Glyphisodontinae,1,5,NA,NA,25,20,NA,24,N,7,S,133,W,62,E,NA,NA
Abudefduf troschelii,8245,Abudefduf,"(Gill, 1862)",Panamic sergeant major,reef-associated,Glyphisodontinae,1,12,NA,NA,20,10,NA,32,N,18,S,115,W,73,W,NA,NA
Abudefduf vaigiensis,6630,Abudefduf,"(Quoy & Gaimard, 1825)",Indo-Pacific sergeant,reef-associated,Glyphisodontinae,0,15,NA,NA,20,NA,NA,36,N,39,S,26,E,143,W,NA,NA
Abudefduf whitleyi,9626,Abudefduf,"Allen & Robertson, 1974",Whitley's sergeant,reef-associated,Glyphisodontinae,1,5,NA,NA,14,NA,NA,10,S,33,S,141,E,170,E,NA,NA
Acanthaluteres brownii,14532,Acanthaluteres,"(Richardson, 1846)",Spiny-tailed leatherjacket,reef-associated,NA,NA,50,NA,NA,55,NA,NA,11,S,41,S,117,E,147,E,NA,NA
